"","HDI","e.finit.n","e.finit.s","e.grth.n","e.inov.n","e.inov.s","e.cinov.n","e.cinov.s","v.spoll.n","v.spoll.s","v.cfsus.n","v.cfsus.s","v.drop.n","v.drop.s"
"1",0.0288842,2.428,1.5,0.01708,0.0449,0.01686,0.00869,0.00595,6.71,6.51,1.2128,1.1808,0.00431,0.00593
"2",0.0543428,3.18,3.284,0.03612,0.0497,0.01086,0.00989,0.00347,4.95,6.59,0.6784,0.6752,0.00861,0.00753
"3",-0.0343462,3.532,0.364,0.0342,0.00542,0.00594,0.00897,0.00411,6.79,4.09,1.0928,0.7136,0.00867,0.00883
"4",0.00859082,0.3,3.06,0.01036,0.01262,0.01122,0.00665,0.00815,1.65,2.51,0.7136,1.1728,0.00513,0.00751
"5",-0.051439,1.02,0.292,0.03372,0.00338,-0.0249,0.00039,0.00323,4.71,5.67,0.9088,1.1696,0.00079,0.00505
"6",-0.0920024,2.764,3.98,0.01636,0.00206,-0.02478,0.00289,0.00879,6.37,7.69,1.208,0.784,0.00797,0.00661
"7",-0.0595841,1.436,3.436,0.00196,-0.00718,-0.01194,0.00053,0.00103,3.01,0.25,0.8176,0.8592,0.00845,0.00445
"8",0.0290374,2.38,3.628,0.02028,0.04994,-0.01254,0.00685,0.00843,4.17,6.55,0.768,0.6096,0.00615,0.00091
"9",0.0257,3.252,3.052,0.0174,0.0287,0.02706,0.00069,0.00281,9.85,7.91,0.7984,0.8576,0.00205,0.00449
"10",-0.0948189,2.924,3.388,0.01716,-0.00598,-0.02694,0.00169,0.00481,8.59,5.23,0.8192,0.8,0.00959,0.00383
"11",0.0124209,3.74,2.58,0.0014,0.04766,0.00378,0.00591,0.00373,0.15,5.49,0.8752,0.7808,0.00131,0.00317
"12",0.00783458,2.26,0.356,0.01228,-0.00934,0.00294,0.00397,0.00179,1.13,8.57,1.2384,0.9232,0.00817,0.00855
"13",-0.0163358,1.828,3.604,0.00756,-0.0049,0.00078,0.00071,0.00853,2.29,5.95,0.968,0.72,0.00857,0.00389
"14",0.00560883,0.116,1.524,0.00996,0.0479,0.02718,0.00353,0.00013,5.05,4.43,0.5856,0.6384,0.00809,0.00181
"15",-0.020816,3.284,0.94,0.01492,0.00482,-0.00546,0.00067,0.00757,8.45,4.65,0.552,1.104,0.00133,0.00837
"16",0.0210693,2.988,0.652,0.02716,0.0239,-0.01086,0.00331,0.00293,9.47,6.61,1.1376,1.1776,0.00577,0.00487
"17",-0.0551974,2.444,0.972,0.01804,0.01958,-0.0177,0.00197,0.00563,0.11,0.95,0.5264,0.7824,0.00333,0.00797
